Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1163,30,H1NE07550,331.6,70.8,6.078,5.625,58.95,77.02,650,33,0,3489,03,N57
1164,30,H1NE07521,335.9,70.8,6.082,5.664,59.31,78.02,2053,33,0,3492,03,N54
1165,30,H1NE07531,333.4,70.8,6.066,5.619,59.33,77.63,465,33,0,3495,03,N57
1166,30,H1NE07525,335.5,70.9,6.078,5.661,59.27,77.9,1985,33,0,3498,03,N58
1167,30,H1NE07530,333.2,70.7,6.057,5.619,59.3,77.82,456,33,0,3501,03,N57
1168,30,H1NE07552,333.9,70.8,6.084,5.66,58.99,77.54,1937,33,0,3504,03,N58
1169,30,H1NE07529,333.7,70.7,6.073,5.622,59.35,77.67,582,33,0,3507,03,N57
1170,30,H1NE07558,334.4,70.7,6.077,5.658,59.1,77.81,1871,33,0,3510,03,N58
1171,30,H1NE07492,333.7,70.8,6.081,5.62,59.37,77.51,516,33,0,3513,03,N57
1172,30,H1NE07560,335.1,70.8,6.1,5.656,59.26,77.57,1807,33,0,3516,03,N58
1173,30,H1NE07493,333.1,70.8,6.066,5.617,59.3,77.59,365,33,0,3519,03,N57
1174,30,H1NE07555,333.9,70.8,6.082,5.657,59.02,77.57,1827,33,0,3522,03,N58
1175,30,H1NE07494,333.2,70.8,6.078,5.623,59.26,77.48,608,33,0,3525,03,N57
1176,30,H1NE07508,333,70.6,6.072,5.661,58.82,77.65,1967,33,0,3528,03,N58
1177,30,H1NE07495,332.8,70.7,6.069,5.621,59.2,77.55,535,33,0,3531,03,N57
1178,30,H1NE07509,332.6,70.6,6.072,5.649,58.88,77.59,1476,33,0,3534,03,N58
1179,30,H1NE07510,332,70.6,6.065,5.616,59.12,77.52,316,33,0,3537,03,N57
1180,30,H1NE07496,334.6,70.8,6.085,5.645,59.27,77.62,1296,33,0,3540,03,N58
1181,30,H1NE07497,335.1,70.9,6.075,5.651,59.3,77.78,1592,33,0,3543,03,N58
1182,30,H1NE07504,332.9,70.3,6.081,5.636,59.06,77.83,929,33,0,3546,01,N03
1183,30,H1NE07511,333.6,70.9,6.055,5.609,59.48,77.73,126,33,0,3549,03,N57
1184,30,H1NE07498,335.5,70.9,6.076,5.657,59.31,77.85,1841,33,0,3552,03,N58
1185,30,H1NE07512,333.8,70.8,6.07,5.617,59.44,77.67,383,33,0,3555,03,N57
1186,30,H1NE07515,334.9,70.8,6.078,5.649,59.29,77.8,1493,33,0,3558,03,N58
1187,30,H1NE07487,333.4,70.8,6.055,5.62,59.32,77.77,508,33,0,3561,03,N57
1188,30,H1NE07516,335.7,70.9,6.09,5.664,59.27,77.75,2051,33,0,3564,01,N06
1189,30,H1NE07514,334.2,70.7,6.071,5.628,59.39,77.83,740,33,0,3567,01,N05
1190,30,H1NE07517,334.4,70.8,6.113,5.663,59.04,77.2,2016,33,0,3570,01,N06
1191,30,H1NE07499,333.8,70.8,6.064,5.622,59.37,77.76,584,33,0,3573,01,N08
1192,30,H1NE07500,333.6,70.7,6.06,5.625,59.31,77.82,668,33,0,3576,01,N08
1193,30,H1NE07518,335.7,70.8,6.08,5.666,59.24,77.94,2083,33,0,3579,01,N06
1194,30,H1NE07501,331.3,70.6,6.062,5.619,58.97,77.38,437,33,0,3582,01,N08
1195,30,H1NE07519,335.1,70.8,6.085,5.664,59.17,77.76,2040,33,0,3585,01,N06
1196,30,H1NE07502,332,70.6,6.064,5.625,59.02,77.5,651,33,0,3588,01,N08
1197,30,H1NE07526,335.5,70.9,6.086,5.657,59.31,77.8,1842,33,0,3591,03,N58
1198,30,H1NE07503,331.4,70.5,6.067,5.631,58.86,77.45,786,33,0,3594,01,N03
1199,30,H1NE07505,333.2,70.3,6.088,5.647,59,77.86,1388,33,0,3597,01,N10
1200,30,GZNE29679,332.1,70.5,6.057,5.62,59.09,77.75,489,33,0,3600,01,N08
1201,31,H1NE07507,331.8,70.7,6.062,5.623,59.02,77.47,596,34,0,3603,01,N08
1202,31,H1NE07548,336,71,6.076,5.651,59.47,77.93,1601,34,0,3606,01,N10
1203,31,H1NE07549,332.8,70.7,6.056,5.621,59.21,77.69,536,34,0,3609,01,N08
1204,31,H1NE07450,334.3,70.8,6.076,5.647,59.2,77.71,1395,34,0,3612,01,N10
1205,31,H1NE07478,333.1,70.7,6.049,5.615,59.32,77.86,295,34,0,3615,01,N08
1206,31,H1NE07482,334.8,70.9,6.072,5.645,59.31,77.79,1297,34,0,3618,01,N10
1207,31,H1NE07489,332.6,70.8,6.062,5.611,59.27,77.5,170,34,0,3621,01,N01
1208,31,H1NE07479,333.5,70.7,6.054,5.615,59.4,77.88,304,34,0,3624,01,N01
1209,31,H1NE07483,334.8,70.8,6.088,5.652,59.22,77.67,1632,34,0,3627,01,N10
1210,31,H1NE07480,333.5,70.8,6.07,5.618,59.37,77.61,417,34,0,3630,01,N03
1211,31,H1NE07474,332.7,70.8,6.054,5.619,59.2,77.61,449,34,0,3633,01,N03
1212,31,H1NE07481,333.2,70.8,6.072,5.614,59.35,77.56,262,34,0,3636,01,N01
1213,31,H1NE07455,333.4,70.8,6.044,5.617,59.36,77.93,374,34,0,3639,01,N01
1214,31,H1NE07488,335.1,70.8,6.09,5.658,59.23,77.72,1883,34,0,3642,01,N10
1215,31,H1NE07484,334.7,70.8,6.089,5.651,59.23,77.7,1583,34,0,3645,01,N10
1216,31,H1NE07485,335,70.8,6.1,5.66,59.2,77.59,1947,34,0,3648,01,N06
1217,31,H1NE06334,334.1,70.6,6.094,5.632,59.33,77.65,829,34,0,3651,01,N03
1218,31,H1NE07490,332.7,70.7,6.073,5.619,59.22,77.45,450,34,0,3654,01,N03
1219,31,H1NE07486,332.9,70.9,6.1,5.655,58.87,77.01,1749,34,0,3657,01,N06
1220,31,H1NE07227,332.7,70.7,6.049,5.616,59.24,77.84,325,34,0,3660,01,N01
1221,31,H1NE07491,331.2,70.8,6.07,5.606,59.08,77.05,55,34,0,3663,01,N01
1222,31,H1NE06558,335.5,70.8,6.079,5.659,59.29,77.97,1922,34,0,3666,01,N06
1223,31,H1NE07298,332.1,70.2,6.092,5.641,58.87,77.68,1085,34,0,3669,01,N04
1224,31,H1NE07398,333.5,70.7,6.061,5.62,59.35,77.84,512,34,0,3672,01,N03
1225,31,H1NE07321,332.7,70.8,6.068,5.619,59.21,77.48,451,34,0,3675,01,N03
1226,31,H1NE07150,334.8,70.8,6.061,5.643,59.33,78,1182,34,0,3678,01,N04
1227,31,H1NE07373,334.9,70.8,6.062,5.656,59.21,78.06,1803,34,0,3681,01,N06
1228,31,H1NE07100,334.1,70.7,6.068,5.651,59.12,77.86,1577,34,0,3684,01,N06
1229,31,H1NE07037,334.2,70.7,6.054,5.619,59.47,78.05,480,34,0,3687,01,N03
1230,31,H1NE07469,335.6,70.9,6.079,5.654,59.35,77.86,1731,34,0,3690,01,N06
1231,31,H1NE07464,333.5,70.7,6.049,5.618,59.36,77.93,418,34,0,3693,01,N03
1232,31,H1NE07471,335.5,70.9,6.069,5.655,59.34,77.99,1775,34,0,3696,01,N06
1233,31,H1NE07465,333.6,70.8,6.057,5.615,59.41,77.79,306,34,0,3699,01,N01
1234,31,H1NE07466,333.6,70.7,6.063,5.619,59.37,77.79,474,34,0,3702,01,N03
1235,31,H1NE07389,331.3,70.6,6.05,5.617,58.99,77.54,345,34,0,3705,01,N01
1236,31,H1NE07468,333.8,70.8,6.078,5.615,59.44,77.51,310,34,0,3708,01,N01
1237,31,H1NE07470,333.6,70.8,6.044,5.612,59.43,77.92,198,34,0,3711,01,N01
1238,31,H1NE07463,333.5,70.8,6.043,5.617,59.37,77.99,376,34,0,3714,01,N01
1239,31,H1NE07472,335.4,70.9,6.08,5.653,59.34,77.77,1680,34,0,3717,01,N06
1240,31,GZNE29694,335.8,70.7,6.086,5.672,59.2,78.08,2149,34,0,3720,01,N12
1241,32,H1NE07189,335.2,70.8,6.079,5.652,59.31,77.89,1637,35,0,3723,01,N06
1242,32,H1NE07195,335.7,70.9,6.08,5.652,59.4,77.91,1641,35,0,3726,01,N04
1243,32,H1NE07176,332.8,70.6,6.05,5.62,59.21,77.92,497,35,0,3729,01,N03
1244,32,H1NE07132,335,70.9,6.063,5.646,59.34,77.97,1349,35,0,3732,01,N04
1245,32,H1NE07166,335.2,70.9,6.069,5.651,59.32,77.9,1594,35,0,3735,01,N04
1246,32,H1NE07169,334.9,70.9,6.069,5.643,59.35,77.82,1184,35,0,3738,01,N04
1247,32,H1NE07187,332.4,70.7,6.057,5.618,59.17,77.67,393,35,0,3741,01,N01
1248,32,H1NE07174,334.1,70.7,6.058,5.645,59.2,77.98,1292,35,0,3744,01,N04
1249,32,H1NE07177,335.8,70.8,6.097,5.657,59.36,77.82,1849,35,0,3747,01,N04
1250,32,H1NE07178,335.2,70.8,6.092,5.655,59.27,77.74,1771,35,0,3750,01,N04
1251,32,H1NE07179,333,70.8,6.079,5.644,59.01,77.39,1231,35,0,3753,01,N04
1252,32,H1NE07188,333,70.7,6.069,5.619,59.26,77.62,453,35,0,3756,01,N01
1253,32,H1NE07173,334.4,70.7,6.078,5.653,59.16,77.87,1662,35,0,3759,01,N04
1254,32,H1NE07183,335.6,70.9,6.079,5.648,59.41,77.89,1449,35,0,3762,01,N04
1255,32,H1NE07185,333.6,70.8,6.077,5.652,59.03,77.56,1615,35,0,3765,01,N04
1256,32,H1NE07140,334,70.5,6.068,5.658,59.04,78.06,1867,35,0,3768,01,N12
1257,32,H1NE07151,333.4,70.5,6.08,5.658,58.93,77.8,1865,35,0,3771,01,N12
1258,32,H1NE07152,333.7,70.5,6.078,5.654,59.01,77.84,1710,35,0,3774,01,N12
1259,32,H1NE07127,332.5,70.7,6.046,5.614,59.22,77.78,252,35,0,3777,01,N07
1260,32,H1NE07131,333,70.7,6.053,5.618,59.27,77.76,402,35,0,3780,01,N07
1261,32,H1NE07139,334.4,70.8,6.07,5.647,59.21,77.85,1397,35,0,3783,01,N09
1262,32,H1NE07147,332.9,70.7,6.032,5.612,59.31,78.06,188,35,0,3786,01,N07
1263,32,H1NE07138,335,70.8,6.076,5.654,59.24,77.85,1721,35,0,3789,01,N12
1264,32,H1NE07146,331,70.6,6.055,5.607,59.04,77.42,70,35,0,3792,01,N07
1265,32,H1NE07154,334.1,70.7,6.091,5.65,59.14,77.55,1534,35,0,3795,01,N09
1266,32,H1NE07134,332.9,70.6,6.065,5.615,59.28,77.71,289,35,0,3798,01,N07
1267,32,H1NE07137,332.4,70.6,6.048,5.616,59.19,77.88,320,35,0,3801,01,N07
1268,32,H1NE07155,334.7,70.7,6.08,5.651,59.22,77.82,1584,35,0,3804,01,N09
1269,32,H1NE07156,334.6,70.8,6.076,5.651,59.2,77.78,1582,35,0,3807,01,N09
1270,32,H1NE07135,331.8,70.5,6.056,5.62,59.04,77.77,488,35,0,3810,01,N07
1271,32,H1NE07136,334.7,70.6,6.092,5.66,59.13,77.82,1943,35,0,3813,01,N12
1272,32,H1NE07141,332.2,70.6,6.047,5.617,59.14,77.83,355,35,0,3816,01,N07
1273,32,H1NE07160,332.4,70.7,6.043,5.611,59.24,77.85,163,35,0,3819,01,N07
1274,32,H1NE07157,334.5,70.9,6.077,5.649,59.22,77.68,1487,35,0,3822,01,N09
1275,32,H1NE07161,332.5,70.7,6.052,5.611,59.26,77.68,169,35,0,3825,01,N07
1276,32,H1NE07158,334.8,70.8,6.08,5.651,59.26,77.77,1588,35,0,3828,01,N09
1277,32,H1NE07162,332.8,70.7,6.051,5.613,59.3,77.79,221,35,0,3831,01,N07
1278,32,H1NE07133,335.2,70.9,6.08,5.653,59.29,77.8,1674,35,0,3834,01,N12
1279,32,H1NE07153,332.8,70.6,6.038,5.616,59.26,78.09,326,35,0,3837,01,N07
1280,32,GZNE29410,332.5,70.7,6.072,5.625,59.12,77.48,655,35,0,3840,01,N07
1281,33,H1NE07259,333,70.8,6.05,5.604,59.43,77.77,46,29,0,3843,08,N80
1282,33,H1NE07257,332.8,70.7,6.077,5.654,58.87,77.45,1702,29,0,3846,03,N61
1283,33,H1NE07251,332.7,70.7,6.053,5.615,59.25,77.68,286,29,0,3849,03,N70
1284,33,H1NE07240,334,70.8,6.084,5.65,59.12,77.5,1532,29,0,3852,03,N61
1285,33,H1NE07242,334.5,70.8,6.066,5.652,59.19,77.87,1625,29,0,3855,03,N61
1286,33,H1NE07260,332.7,70.7,6.04,5.613,59.27,77.95,218,29,0,3858,03,N70
1287,33,H1NE07245,334.5,70.8,6.054,5.646,59.25,78.07,1342,29,0,3861,03,N61
1288,33,H1NE07262,332.7,70.7,6.052,5.606,59.35,77.74,60,29,0,3864,03,N53
1289,33,H1NE07247,334.5,70.8,6.077,5.648,59.22,77.79,1436,29,0,3867,03,N61
1290,33,H1NE07235,333.6,70.8,6.059,5.644,59.11,77.83,1238,29,0,3870,03,N61
1291,33,H1NE07264,331.7,70.4,6.06,5.617,59.06,77.71,347,29,0,3873,03,N70
1292,33,H1NE07225,331.7,70.7,6.069,5.613,59.1,77.32,205,29,0,3876,03,N70
1293,33,H1NE07250,333,70.7,6.057,5.615,59.31,77.73,294,29,0,3879,03,N70
1294,33,H1NE07263,331.7,70.2,6.089,5.659,58.61,77.59,1901,29,0,3882,03,N74
1295,33,H1NE07255,334.6,70.8,6.075,5.647,59.25,77.84,1400,29,0,3885,03,N61
1296,33,H1NE07253,333.8,70.8,6.05,5.613,59.47,77.99,234,29,0,3888,03,N70
1297,33,H1NE07234,334.5,70.7,6.094,5.65,59.21,77.64,1536,29,0,3891,03,N61
1298,33,H1NE07216,333.1,70.8,6.051,5.613,59.34,77.78,226,29,0,3894,03,N70
1299,33,H1NE07230,333.8,70.8,6.072,5.645,59.13,77.62,1290,29,0,3897,03,N62
1300,33,H1NE07236,333.1,70.7,6.075,5.617,59.3,77.54,366,29,0,3900,03,N70
1301,33,H1NE07258,335.1,70.8,6.081,5.654,59.27,77.81,1722,29,0,3903,03,N62
1302,33,H1NE07238,333.2,70.8,6.046,5.619,59.29,77.9,457,29,0,3906,03,N70
1303,33,H1NE07200,332.6,70.6,6.046,5.622,59.15,77.95,567,29,0,3909,03,N70
1304,33,H1NE07261,335.3,70.7,6.097,5.658,59.26,77.79,1887,29,0,3912,03,N62
1305,33,H1NE07194,334.2,70.8,6.054,5.619,59.48,78.02,481,29,0,3915,03,N70
1306,33,H1NE07239,335.2,70.9,6.079,5.654,59.29,77.77,1724,29,0,3918,03,N62
1307,33,H1NE07197,334.4,70.8,6.046,5.62,59.49,78.16,519,29,0,3921,03,N70
1308,33,H1NE07241,334.9,70.8,6.07,5.656,59.22,77.91,1804,29,0,3924,03,N62
1309,33,H1NE07196,334.3,70.7,6.063,5.622,59.46,77.95,588,29,0,3927,03,N53
1310,33,H1NE07243,334.9,70.8,6.075,5.654,59.23,77.87,1718,29,0,3930,03,N62
1311,33,H1NE07202,331.1,70.4,6.059,5.625,58.86,77.58,648,29,0,3933,03,N53
1312,33,H1NE07244,334.3,70.8,6.079,5.656,59.1,77.67,1799,29,0,3936,03,N62
1313,33,H1NE07206,333.6,70.7,6.086,5.62,59.35,77.49,514,29,0,3939,03,N53
1314,33,H1NE07246,334.8,70.8,6.088,5.656,59.19,77.72,1802,29,0,3942,03,N62
1315,33,H1NE07207,334,70.8,6.061,5.618,59.45,77.82,431,29,0,3945,03,N53
1316,33,H1NE07114,334.5,70.7,6.072,5.661,59.08,77.88,1972,29,0,3948,03,N62
1317,33,H1NE07209,333.6,70.8,6.059,5.615,59.4,77.71,307,29,0,3951,03,N53
1318,33,H1NE07248,333.5,70.7,6.072,5.659,58.94,77.68,1902,29,0,3954,03,N62
1319,33,H1NE07203,333.1,70.6,6.06,5.62,59.26,77.82,504,29,0,3957,03,N53
1320,33,GZNE29414,332.2,70.7,6.061,5.621,59.11,77.53,528,29,0,3960,03,N53
1321,34,H1NE07309,333.6,70.8,6.063,5.618,59.39,77.69,421,30,0,3963,03,N53
1322,34,H1NE07311,332.8,70.7,6.068,5.65,58.91,77.56,1519,30,0,3966,03,N62
1323,34,H1NE07271,334.2,70.7,6.075,5.649,59.15,77.79,1482,30,0,3969,03,N62
1324,34,H1NE07304,332.8,70.8,6.05,5.608,59.35,77.71,96,30,0,3972,03,N53
1325,34,H1NE07320,334.1,70.8,6.069,5.645,59.18,77.77,1293,30,0,3975,03,N62
1326,34,H1NE07322,335,70.7,6.068,5.655,59.24,78.05,1767,30,0,3978,03,N66
1327,34,H1NE07297,332.4,70.4,6.08,5.631,59.03,77.64,792,30,0,3981,03,N73
1328,34,H1NE07300,332,70.3,6.089,5.633,58.94,77.59,844,30,0,3984,03,N73
1329,34,H1NE07308,335.2,70.9,6.067,5.651,59.32,77.94,1595,30,0,3987,03,N66
1330,34,H1NE07313,333.2,70.6,6.053,5.617,59.31,77.97,370,30,0,3990,03,N53
1331,34,H1NE07324,335.6,70.8,6.073,5.657,59.31,78.05,1845,30,0,3993,03,N66
1332,34,H1NE07316,331.3,70.4,6.045,5.623,58.92,77.82,593,30,0,3996,03,N53
1333,34,H1NE07295,332.5,70.2,6.098,5.643,58.93,77.64,1165,30,0,3999,03,N66
1334,34,H1NE07326,334.3,70.7,6.08,5.655,59.12,77.78,1758,30,0,4002,03,N66
1335,34,H1NE07277,334.2,70.7,6.074,5.619,59.46,77.78,482,30,0,4005,03,N53
1336,34,H1NE07318,334,70.7,6.057,5.618,59.45,77.99,432,30,0,4008,03,N73
1337,34,H1NE07279,334.3,70.6,6.056,5.628,59.4,78.15,741,30,0,4011,03,N73
1338,34,H1NE07301,333.3,70.7,6.047,5.616,59.34,77.97,336,30,0,4014,03,N73
1339,34,H1NE07303,333.5,70.8,6.054,5.612,59.42,77.84,196,30,0,4017,03,N69
1340,34,H1NE07276,333.4,70.7,6.071,5.615,59.37,77.63,302,30,0,4020,03,N73
1341,34,H1NE07290,333.5,70.5,6.092,5.654,58.99,77.66,1708,30,0,4023,03,N66
1342,34,H1NE07289,333,70.3,6.114,5.67,58.73,77.49,2123,30,0,4026,03,N54
1343,34,H1NE07288,331.4,70.2,6.081,5.638,58.79,77.69,970,30,0,4029,03,N66
1344,34,H1NE07305,335.3,70.7,6.086,5.664,59.21,77.94,2044,30,0,4032,03,N54
1345,34,H1NE07286,333.6,70.7,6.058,5.616,59.4,77.87,339,30,0,4035,03,N73
1346,34,H1NE07284,333.4,70.8,6.054,5.613,59.41,77.84,229,30,0,4038,03,N73
1347,34,H1NE07306,335.5,70.8,6.102,5.658,59.29,77.66,1889,30,0,4041,03,N54
1348,34,H1NE07282,333.6,70.8,6.058,5.612,59.44,77.74,199,30,0,4044,03,N69
1349,34,H1NE07293,332.2,70.2,6.09,5.64,58.89,77.66,1052,30,0,4047,03,N66
1350,34,H1NE07280,334,70.7,6.08,5.624,59.38,77.7,645,30,0,4050,03,N73
1351,34,H1NE07285,333.7,70.8,6.043,5.618,59.4,78.04,423,30,0,4053,03,N73
1352,34,H1NE07294,333.9,70.3,6.103,5.678,58.81,77.86,2159,30,0,4056,03,N54
1353,34,H1NE07302,334.2,70.8,6.076,5.619,59.48,77.75,483,30,0,4059,03,N73
1354,34,H1NE07296,333.3,70.3,6.108,5.67,58.78,77.61,2125,30,0,4062,03,N54
1355,34,H1NE07299,333.2,70.3,6.098,5.67,58.76,77.74,2124,30,0,4065,03,N54
1356,34,H1NE07278,333.4,70.7,6.052,5.621,59.31,77.88,549,30,0,4068,03,N73
1357,34,H1NE07222,333,70.8,6.046,5.609,59.37,77.8,125,30,0,4071,03,N69
1358,34,H1NE07237,332.9,70.7,6.045,5.615,59.29,77.9,290,30,0,4074,03,N73
1359,34,H1NE07233,334.7,70.7,6.069,5.651,59.22,77.98,1585,30,0,4077,03,N66
1360,34,GZNE29535,335.7,70.7,6.086,5.662,59.3,77.98,2006,30,0,4080,03,N54
1361,35,H1NE07328,334.9,70.6,6.08,5.66,59.18,78.01,1945,31,0,4083,03,N54
1362,35,H1NE07332,333.3,70.6,6.051,5.626,59.25,78.05,689,31,0,4086,03,N69
1363,35,H1NE07334,334.7,70.8,6.076,5.651,59.23,77.83,1586,31,0,4089,03,N66
1364,35,H1NE07336,333.6,70.7,6.065,5.623,59.34,77.81,615,31,0,4092,03,N69
1365,35,H1NE07338,334.4,70.7,6.081,5.658,59.1,77.75,1872,31,0,4095,03,N54
1366,35,H1NE07340,333.6,70.6,6.055,5.624,59.31,78,641,31,0,4098,03,N69
1367,35,H1NE07349,333.5,70.7,6.053,5.619,59.35,77.92,470,31,0,4101,03,N69
1368,35,H1NE07344,335.6,70.8,6.079,5.654,59.35,77.97,1732,31,0,4104,03,N66
1369,35,H1NE07375,332.1,70.6,6.076,5.62,59.09,77.44,490,31,0,4107,03,N69
1370,35,H1NE07384,335.6,70.8,6.08,5.657,59.32,77.95,1846,31,0,4110,03,N66
1371,35,H1NE07381,333.6,70.7,6.068,5.625,59.3,77.8,669,31,0,4113,03,N69
1372,35,H1NE07383,335.1,70.7,6.08,5.664,59.16,78,2041,31,0,4116,03,N54
1373,35,H1NE07379,333.5,70.7,6.049,5.618,59.37,77.97,419,31,0,4119,03,N69
1374,35,H1NE07391,335.5,70.9,6.081,5.654,59.33,77.85,1728,31,0,4122,03,N66
1375,35,H1NE07392,335.2,70.8,6.081,5.655,59.27,77.84,1772,31,0,4125,01,N13
1376,35,H1NE07270,332.3,70.5,6.062,5.621,59.12,77.75,530,31,0,4128,03,N69
1377,35,H1NE07267,334.5,70.8,6.079,5.649,59.21,77.74,1488,31,0,4131,01,N13
1378,35,H1NE07272,333.1,70.8,6.048,5.618,59.29,77.84,405,31,0,4134,03,N69
1379,35,H1NE07312,333.5,70.7,6.056,5.617,59.37,77.94,377,31,0,4137,03,N69
1380,35,H1NE07273,332.9,70.6,6.088,5.658,58.84,77.52,1864,31,0,4140,01,N13
1381,35,H1NE07310,335,70.8,6.087,5.659,59.21,77.78,1914,31,0,4143,01,N13
1382,35,H1NE07315,335.2,70.7,6.079,5.663,59.19,78.01,2022,31,0,4146,01,N13
1383,35,H1NE07317,334.4,70.8,6.049,5.622,59.49,78.14,589,31,0,4149,01,N02
1384,35,H1NE07325,333.6,70.8,6.062,5.62,59.35,77.76,515,31,0,4152,01,N02
1385,35,H1NE07327,334.8,70.7,6.093,5.658,59.16,77.67,1875,31,0,4155,01,N13
1386,35,H1NE07319,335,70.7,6.081,5.661,59.17,77.9,1978,31,0,4158,01,N13
1387,35,H1NE07307,333.7,70.7,6.053,5.62,59.37,77.95,517,31,0,4161,01,N02
1388,35,H1NE07329,334.4,70.7,6.071,5.655,59.13,77.89,1761,31,0,4164,01,N13
1389,35,H1NE07331,333.6,70.7,6.069,5.624,59.33,77.81,642,31,0,4167,01,N02
1390,35,H1NE07283,333.8,70.8,6.082,5.644,59.15,77.5,1240,31,0,4170,01,N13
1391,35,H1NE07287,332.2,70.2,6.084,5.645,58.84,77.79,1262,31,0,4173,01,N13
1392,35,H1NE07281,334.3,70.7,6.075,5.66,59.07,77.82,1940,31,0,4176,01,N13
1393,35,H1NE07274,333.1,70.7,6.076,5.614,59.32,77.54,260,31,0,4179,01,N02
1394,35,H1NE07275,333,70.6,6.064,5.62,59.26,77.75,502,31,0,4182,01,N02
1395,35,H1NE07268,334.1,70.6,6.08,5.657,59.05,77.83,1829,31,0,4185,01,N13
1396,35,H1NE07269,332.5,70.6,6.046,5.615,59.2,77.85,283,31,0,4188,01,N02
1397,35,H1NE07266,332.5,70.6,6.063,5.618,59.18,77.66,395,31,0,4191,01,N02
1398,35,H1NE07291,331.9,70.4,6.054,5.619,59.07,77.85,440,31,0,4194,01,N02
1399,35,H1NE07265,332.5,70.5,6.052,5.622,59.13,77.91,563,31,0,4197,01,N02
1400,35,GZNE29437,333.3,70.8,6.068,5.618,59.33,77.53,409,31,0,4200,01,N02
1401,36,H1NE07347,334.4,70.6,6.082,5.653,59.15,77.84,1663,36,0,4203,01,N12
1402,36,H1NE07354,332.5,70.5,6.058,5.62,59.15,77.82,492,36,0,4206,02,N18
1403,36,H1NE07353,334,70.6,6.077,5.656,59.05,77.89,1794,36,0,4209,01,N12
1404,36,H1NE07342,332.8,70.6,6.067,5.616,59.25,77.66,327,36,0,4212,02,N18
1405,36,H1NE07350,334.7,70.7,6.101,5.659,59.14,77.62,1909,36,0,4215,01,N12
1406,36,H1NE07394,333.4,70.7,6.076,5.62,59.33,77.57,509,36,0,4218,02,N18
1407,36,H1NE07378,335.1,70.8,6.09,5.659,59.22,77.74,1917,36,0,4221,01,N12
1408,36,H1NE07371,335,70.7,6.077,5.656,59.23,77.96,1805,36,0,4224,01,N12
1409,36,H1NE07368,333.1,70.6,6.062,5.617,59.3,77.81,367,36,0,4227,02,N18
1410,36,H1NE07363,333.5,70.8,6.034,5.615,59.39,78.11,305,36,0,4230,02,N18
1411,36,H1NE07369,333.3,70.7,6.06,5.619,59.32,77.78,464,36,0,4233,02,N18
1412,36,H1NE07367,335.3,70.8,6.071,5.655,59.28,77.97,1774,36,0,4236,01,N12
1413,36,H1NE07358,333.5,70.7,6.052,5.614,59.41,77.92,267,36,0,4239,02,N18
1414,36,H1NE07362,334.7,70.8,6.061,5.65,59.25,78.01,1538,36,0,4242,01,N09
1415,36,H1NE07357,333.8,70.7,6.049,5.617,59.42,78.01,384,36,0,4245,02,N18
1416,36,H1NE07361,334.6,70.7,6.075,5.653,59.2,77.87,1666,36,0,4248,01,N09
1417,36,H1NE07360,334.5,70.8,6.079,5.645,59.26,77.68,1295,36,0,4251,01,N09
1418,36,H1NE07355,333.3,70.8,6.05,5.615,59.36,77.85,300,36,0,4254,02,N18
1419,36,H1NE07348,332.6,70.7,6.077,5.648,58.89,77.42,1423,36,0,4257,01,N09
1420,36,H1NE07352,333.2,70.6,6.062,5.619,59.3,77.81,458,36,0,4260,02,N18
1421,36,H1NE07351,334.6,70.6,6.074,5.66,59.12,78.01,1941,36,0,4263,01,N09
1422,36,H1NE07395,333.7,70.6,6.061,5.626,59.32,77.93,692,36,0,4266,02,N18
1423,36,H1NE07393,335.3,70.8,6.081,5.654,59.3,77.83,1726,36,0,4269,01,N09
1424,36,H1NE07335,333.5,70.7,6.057,5.624,59.3,77.9,639,36,0,4272,02,N18
1425,36,H1NE07333,335,70.7,6.075,5.658,59.2,78.04,1880,36,0,4275,01,N09
1426,36,H1NE07337,334.9,70.7,6.086,5.655,59.22,77.79,1766,36,0,4278,02,N22
1427,36,H1NE07339,332.3,70.8,6.054,5.616,59.17,77.58,319,36,0,4281,02,N18
1428,36,H1NE07343,335.3,70.8,6.086,5.66,59.24,77.86,1951,36,0,4284,02,N22
1429,36,H1NE07345,333.5,70.7,6.051,5.623,59.31,77.94,613,36,0,4287,02,N20
1430,36,H1NE07341,335.4,70.8,6.086,5.66,59.26,77.87,1953,36,0,4290,02,N22
1431,36,H1NE07385,333.7,70.7,6.047,5.619,59.38,78.02,477,36,0,4293,02,N20
1432,36,H1NE07386,333.9,70.7,6.07,5.659,59,77.76,1903,36,0,4296,02,N22
1433,36,H1NE07382,332.8,70.7,6.077,5.62,59.23,77.52,498,36,0,4299,02,N20
1434,36,H1NE07387,334.7,70.7,6.08,5.659,59.14,77.88,1910,36,0,4302,02,N22
1435,36,H1NE07390,334.8,70.9,6.073,5.651,59.24,77.8,1589,36,0,4305,02,N22
1436,36,H1NE07380,333.1,70.7,6.047,5.62,59.28,77.92,505,36,0,4308,02,N20
1437,36,H1NE07372,333.4,70.7,6.062,5.619,59.35,77.8,466,36,0,4311,02,N20
1438,36,H1NE07377,333.2,70.6,6.065,5.622,59.27,77.79,576,36,0,4314,02,N20
1439,36,H1NE07374,335.2,70.8,6.087,5.655,59.27,77.79,1773,36,0,4317,02,N22
