Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
949,24,H1NE05274,335.2,70.8,6.089,5.656,59.27,77.78,1810,21,0,2847,14,S32
950,24,H1NE05276,333.1,70.7,6.076,5.625,59.22,77.61,662,21,0,2850,14,S39
951,24,H1NE05285,333,70.5,6.062,5.635,59.1,77.88,909,21,0,2853,15,S52
952,24,H1NE05273,335.3,70.7,6.088,5.656,59.27,77.86,1811,21,0,2856,14,S32
953,24,H1NE05261,333.7,70.7,6.091,5.635,59.21,77.53,911,21,0,2859,14,S39
954,24,H1NE05275,335.2,70.8,6.09,5.653,59.29,77.76,1672,21,0,2862,14,S32
955,24,H1NE05278,333.4,70.7,6.069,5.631,59.21,77.73,802,21,0,2865,14,S39
956,24,H1NE05287,335.1,70.7,6.077,5.657,59.24,77.95,1838,21,0,2868,14,S32
957,24,H1NE05289,334.2,70.6,6.073,5.66,59.04,77.91,1939,21,0,2871,14,S32
958,24,H1NE05279,333.5,70.6,6.09,5.633,59.2,77.55,854,21,0,2874,15,S52
959,24,H1NE05290,335.3,70.6,6.086,5.661,59.23,78.03,1982,21,0,2877,14,S32
960,24,GZNE29315,333.7,70.7,6.099,5.662,58.94,77.39,1997,21,0,2880,15,S51
961,25,H1NE05292,335.6,70.8,6.078,5.66,59.3,77.98,1955,22,0,2883,15,S51
962,25,H1NE05294,333.9,70.7,6.082,5.656,59.04,77.65,1793,22,0,2886,15,S51
963,25,H1NE05281,333.4,70.6,6.084,5.63,59.22,77.57,775,22,0,2889,15,S52
964,25,H1NE05296,335.3,70.7,6.076,5.653,59.31,78.02,1677,22,0,2892,15,S51
965,25,H1NE05282,333.3,70.6,6.095,5.629,59.21,77.46,756,22,0,2895,15,S52
966,25,H1NE05283,333.2,70.7,6.095,5.628,59.2,77.33,735,22,0,2898,15,S52
967,25,H1NE05298,334.9,70.5,6.082,5.662,59.14,78.11,2002,22,0,2901,15,S51
968,25,H1NE05284,332.9,70.6,6.088,5.628,59.14,77.39,731,22,0,2904,15,S52
969,25,H1NE05301,335.5,70.7,6.096,5.663,59.24,77.79,2026,22,0,2907,15,S51
970,25,H1NE05288,332.8,70.5,6.09,5.634,59.06,77.49,878,22,0,2910,15,S52
971,25,H1NE05286,335.2,70.7,6.104,5.66,59.22,77.66,1950,22,0,2913,15,S51
972,25,H1NE05232,333.1,70.5,6.08,5.632,59.13,77.68,823,22,0,2916,15,S52
973,25,H1NE05277,335.1,70.8,6.085,5.658,59.22,77.75,1882,22,0,2919,15,S51
974,25,H1NE05235,333,70.6,6.077,5.628,59.17,77.61,733,22,0,2922,15,S52
975,25,H1NE05231,335.6,70.5,6.112,5.67,59.19,77.84,2127,22,0,2925,15,S51
976,25,H1NE05236,333.1,70.5,6.083,5.631,59.15,77.63,798,22,0,2928,15,S52
977,25,H1NE05233,335.5,70.7,6.093,5.662,59.25,77.87,2003,22,0,2931,15,S51
978,25,H1NE05238,333.3,70.6,6.085,5.632,59.18,77.54,825,22,0,2934,15,S52
979,25,H1NE05237,335.3,70.7,6.084,5.659,59.25,77.93,1918,22,0,2937,15,S51
980,25,H1NE05249,332.7,70.6,6.074,5.628,59.11,77.63,728,22,0,2940,15,S52
981,25,H1NE05239,336.1,70.8,6.094,5.666,59.31,77.92,2084,22,0,2943,15,S51
982,25,H1NE05251,333.5,70.7,6.072,5.633,59.19,77.72,855,22,0,2946,15,S47
983,25,H1NE05241,335.7,70.8,6.095,5.664,59.27,77.8,2050,22,0,2949,15,S51
984,25,H1NE05253,332.3,70.7,6.07,5.624,59.08,77.42,627,22,0,2952,15,S47
985,25,H1NE05240,336,70.7,6.099,5.669,59.26,77.87,2118,22,0,2955,15,S46
986,25,H1NE05254,333.4,70.7,6.092,5.631,59.2,77.46,803,22,0,2958,15,S47
987,25,H1NE05242,335.6,70.7,6.094,5.668,59.22,77.95,2101,22,0,2961,15,S46
988,25,H1NE05255,333.1,70.7,6.081,5.626,59.2,77.52,688,22,0,2964,15,S47
989,25,H1NE05245,335.4,70.7,6.091,5.659,59.26,77.85,1921,22,0,2967,15,S46
990,25,H1NE05244,335.1,70.7,6.086,5.663,59.17,77.91,2020,22,0,2970,15,S46
991,25,H1NE05234,335.6,70.7,6.084,5.664,59.26,78.05,2048,22,0,2973,15,S46
992,25,H1NE05246,335.4,70.7,6.084,5.663,59.23,78.02,2024,22,0,2976,15,S46
993,25,H1NE05247,335.8,70.8,6.08,5.663,59.29,78.04,2028,22,0,2979,15,S46
994,25,H1NE05250,336.1,70.9,6.09,5.659,59.39,77.88,1928,22,0,2982,15,S46
995,25,H1NE05252,335.8,70.8,6.078,5.66,59.33,78.05,1957,22,0,2985,15,S46
996,25,H1NE05259,336,70.9,6.085,5.657,59.4,77.93,1850,22,0,2988,15,S46
997,25,H1NE05262,335.3,70.7,6.109,5.661,59.24,77.7,1983,22,0,2991,15,S46
998,25,H1NE05256,335.6,70.8,6.102,5.657,59.32,77.7,1844,22,0,2994,15,S46
999,25,H1NE05267,333,70.6,6.078,5.629,59.16,77.64,754,22,0,2997,14,S30
1000,25,GZNE29564,333.7,70.7,6.074,5.655,59.01,77.7,1753,22,0,3000,16,S68
1001,26,H1NE07148,333.5,70.5,6.056,5.653,58.98,78.12,1658,26,0,3003,15,S41
1002,26,H1NE07292,332.4,70.4,6.067,5.633,59.01,77.86,848,26,0,3006,15,S50
1003,26,H1NE07330,333,70.7,6.048,5.62,59.25,77.91,501,26,0,3009,15,S44
1004,26,H1NE07359,334.1,70.8,6.055,5.612,59.53,77.95,201,26,0,3012,15,S44
1005,26,H1NE07404,334.4,70.6,6.104,5.669,58.99,77.58,2112,26,0,3015,15,S49
1006,26,H1NE07388,333.9,70.7,6.08,5.622,59.39,77.68,585,26,0,3018,15,S48
